CA;T0A;Eastern Alberta (St. Paul);Alberta;54.766;-111.7174
CA;T0B;Wainwright Region (Tofield);Alberta;53.0727;-111.5816
CA;T0C;Central Alberta (Stettler);Alberta;52.1431;-111.6941
CA;T0E;Western Alberta (Jasper);Alberta;53.6758;-115.0948
CA;T0G;North Central Alberta (Slave Lake);Alberta;55.6993;-114.4529
CA;T0H;Northwestern Alberta (High Level);Alberta;57.5403;-116.9153
CA;T0J;Southeastern Alberta (Drumheller);Alberta;50.9944;-111.4632
CA;T0K;International Border Region (Cardston);Alberta;49.4721;-112.2408
CA;T0L;Kananaskis Country (Claresholm);Alberta;50.6314;-114.4089
CA;T0M;Central Foothills (Sundre);Alberta;51.9552;-114.8691
CA;T0P;Northeastern Alberta (Fort Chipewyan);Alberta;58.2626;-110.7467
CA;T0V;Remote Northeast (Fitzgerald);Alberta;59.9049;-111.6717
CA;T1A;Medicine Hat Central;Alberta;50.0816;-110.5788
CA;T1B;Medicine Hat South;Alberta;49.835;-110.5203
CA;T1C;Medicine Hat North;Alberta;50.0774;-110.6911
CA;T1G;Taber;Alberta;49.787;-112.146
CA;T1H;Lethbridge North;Alberta;49.7;-112.8186
CA;T1J;Lethbridge West and Central;Alberta;49.6581;-112.7484
CA;T1K;Lethbridge Southeast;Alberta;49.6511;-112.8351
CA;T1L;Banff;Alberta;51.1762;-115.5698
CA;T1M;Coaldale;Alberta;49.7167;-112.6185
CA;T1P;Strathmore;Alberta;51.0501;-113.3852
CA;T1R;Brooks;Alberta;50.5834;-111.8851
CA;T1S;Okotoks;Alberta;50.7362;-113.9695
CA;T1V;High River;Alberta;50.5834;-113.8687
CA;T1W;Canmore;Alberta;51.0876;-115.3461
CA;T1X;Chestermere;Alberta;51.0334;-113.8187
CA;T1Y;Calgary (Rundle / Whitehorn / Monterey Park);Alberta;51.0823;-113.9578
CA;T1Z;Rocky View;Alberta;51.1834;-113.9353
CA;T2A;Calgary (Penbrooke Meadows / Marlborough);Alberta;51.0494;-113.9564
CA;T2B;Calgary (Forest Lawn / Dover / Erin Woods);Alberta;51.0209;-113.981
CA;T2C;Calgary (Lynnwood Ridge / Ogden / Foothills Industrial / Great Plains);Alberta;50.987;-113.9634
CA;T2E;Calgary (Bridgeland / Greenview / Zoo / YYC);Alberta;51.0876;-114.0214
CA;T2G;Calgary (Inglewood / Burnsland / Chinatown / East Victoria Park / Saddledome);Alberta;51.0272;-114.0349
CA;T2H;Calgary (Highfield / Burns Industrial);Alberta;50.9894;-114.052
CA;T2J;Calgary (Queensland Downs / Lake Bonavista / Willow Park / Acadia);Alberta;50.8476;-114.1958
CA;T2K;Calgary (Thornecliffe / Tuxedo);Alberta;51.1111;-114.0477
CA;T2L;Calgary (Brentwood / Collingwood / Nose Hill);Alberta;51.1047;-114.1148
CA;T2M;Calgary (Mount Pleasant / Capitol Hill / Banff Trail);Alberta;51.133;-113.856
CA;T2N;Calgary (Kensington / Westmont / Parkdale / University);Alberta;51.0621;-114.1159
CA;T2P;Calgary (City Centre / Calgary Tower);Alberta;51.0708;-113.6931
CA;T2R;Calgary (Connaught / West Victoria Park);Alberta;51.0412;-114.0762
CA;T2S;Calgary (Elbow Park / Britannia / Parkhill / Mission);Alberta;51.0233;-114.071
CA;T2T;Calgary South (Altadore / Bankview / Richmond);Alberta;51.0242;-114.1004
CA;T2V;Calgary (Oak Ridge / Haysboro / Kingsland / Windsor Park);Alberta;50.9819;-114.1004
CA;T2W;Calgary (Braeside / Woodbine);Alberta;50.9514;-114.3591
CA;T2X;Calgary (Midnapore / Sundance);Alberta;50.8837;-114.0326
CA;T2Y;Calgary (Millrise / Somerset / Bridlewood / Evergreen);Alberta;50.9093;-114.1028
CA;T2Z;Calgary (Douglas Glen / McKenzie Lake / Copperfield / East Shepard);Alberta;50.9278;-113.9682
CA;T3A;Calgary (Dalhousie / Edgemont / Hamptons / Hidden Valley);Alberta;51.1264;-114.1419
CA;T3B;Calgary (Montgomery / Bowness / Silver Springs / Greenwood);Alberta;51.0915;-114.2073
CA;T3C;Calgary (Rosscarrock / Wildwood / Shaganappi / Sunalta);Alberta;51.0497;-114.1394
CA;T3E;Calgary (Lakeview / Glendale / Killarney / Glamorgan);Alberta;50.9899;-114.1574
CA;T3G;Calgary (Hawkwood / Arbour Lake / Royal Oak / Rocky Ridge);Alberta;51.1387;-114.2015
CA;T3H;Calgary (Discovery Ridge / Signal Hill / Aspen Woods / Patterson / Cougar Ridge);Alberta;51.0419;-114.2
CA;T3J;Calgary (Martindale / Taradale / Falconridge / Saddle Ridge);Alberta;51.1188;-113.9471
CA;T3K;Calgary (Sandstone / Harvest Hills / Coventry Hills / Panorama Hills / Beddington);Alberta;51.1563;-114.0572
CA;T3L;Calgary (Tuscany / Scenic Acres);Alberta;51.1467;-114.3133
CA;T3M;Calgary (Cranston);Alberta;50.8796;-113.9555
CA;T3N;Calgary Northeast;Alberta;51.1626;-113.9537
CA;T3P;Calgary (Symons Valley);Alberta;51.2074;-114.1348
CA;T3R;Calgary Northwest;Alberta;51.2021;-114.2453
CA;T3S;Calgary;Alberta;50.9153;-113.8932
CA;T3Z;Redwood Meadows;Alberta;51.0691;-114.4727
CA;T4A;Airdrie East;Alberta;51.2799;-113.988
CA;T4B;Airdrie West;Alberta;51.3082;-114.0398
CA;T4C;Cochrane;Alberta;51.1834;-114.4687
CA;T4E;Red Deer County;Alberta;52.2765;-113.7063
CA;T4G;Innisfail;Alberta;52.0269;-113.9507
CA;T4H;Olds;Alberta;51.7834;-114.102
CA;T4J;Ponoka;Alberta;52.6768;-113.5815
CA;T4L;Lacombe;Alberta;52.4668;-113.7353
CA;T4M;Blackfalds;Alberta;52.3834;-113.7853
CA;T4N;Red Deer Central;Alberta;52.2316;-113.8358
CA;T4P;Red Deer North;Alberta;52.2954;-113.8073
CA;T4R;Red Deer South;Alberta;52.2424;-113.7784
CA;T4S;Sylvan Lake;Alberta;52.3168;-114.0853
CA;T4T;Rocky Mountain House;Alberta;52.3668;-114.9188
CA;T4V;Camrose;Alberta;53.0168;-112.8353
CA;T4X;Beaumont;Alberta;53.3501;-113.4187
CA;T5A;Edmonton (West Clareview / East Londonderry);Alberta;53.5931;-113.4077
CA;T5B;Edmonton (East North Central / West Beverly);Alberta;53.7353;-113.3369
CA;T5C;Edmonton (Central Londonderry);Alberta;53.5996;-113.4549
CA;T5E;Edmonton (West Londonderry / East Calder);Alberta;53.7454;-113.4465
CA;T5G;Edmonton (North Central / Queen Mary Park / YXD);Alberta;53.5705;-113.5051
CA;T5H;Edmonton (North and East Downtown Fringe);Alberta;53.5514;-113.4916
CA;T5J;Edmonton (North Downtown);Alberta;53.5428;-113.4974
CA;T5K;Edmonton (South Downtown / South Downtown Fringe);Alberta;53.5366;-113.5103
CA;T5L;Edmonton (North Westmount / West Calder / East Mistatim);Alberta;53.585;-113.5526
CA;T5M;Edmonton (South Westmount / Groat Estate / East Northwest Industrial);Alberta;53.563;-113.5662
CA;T5N;Edmonton (Glenora / SW Downtown Fringe);Alberta;53.5436;-113.5574
CA;T5P;Edmonton (North Jasper Place);Alberta;53.5463;-113.5957
CA;T5R;Edmonton (Central Jasper Place / Buena Vista);Alberta;53.5181;-113.5797
CA;T5S;Edmonton (West Northwest Industrial / Winterburn);Alberta;53.5634;-113.6697
CA;T5T;Edmonton West (West Jasper Place / West Edmonton Mall);Alberta;53.5185;-113.6579
CA;T5V;Edmonton (Central Mistatim);Alberta;53.5848;-113.6224
CA;T5W;Edmonton (Central Beverly);Alberta;53.5645;-113.4022
CA;T5X;Edmonton (East Castledowns);Alberta;53.6313;-113.5245
CA;T5Y;Edmonton (Landbank / Oliver / East Lake District);Alberta;53.6585;-113.3614
CA;T5Z;Edmonton (West Lake District);Alberta;53.6365;-113.4673
CA;T6A;Edmonton (North Capilano);Alberta;53.5482;-113.4318
CA;T6B;Edmonton (SE Capilano / West Southeast Industrial / East Bonnie Doon);Alberta;53.5128;-113.4194
CA;T6C;Edmonton (Central Bonnie Doon);Alberta;53.522;-113.459
CA;T6E;Edmonton (South Bonnie Doon / East University);Alberta;53.4914;-113.4802
CA;T6G;Edmonton (West University / Strathcona Place);Alberta;53.521;-113.5324
CA;T6H;Edmonton (Southgate / North Riverbend);Alberta;53.3753;-113.4585
CA;T6J;Edmonton (Kaskitayo);Alberta;53.4564;-113.521
CA;T6K;Edmonton (West Mill Woods);Alberta;53.4609;-113.4519
CA;T6L;Edmonton (East Mill Woods);Alberta;53.4593;-113.4145
CA;T6M;Edmonton Southwest;Alberta;53.4593;-113.6546
CA;T6N;Edmonton (South Industrial);Alberta;53.465;-113.4776
CA;T6P;Edmonton (East Southeast Industrial / South Clover Bar);Alberta;53.5078;-113.3723
CA;T6R;Edmonton (Riverbend);Alberta;53.4567;-113.5801
CA;T6S;Edmonton (North Clover Bar);Alberta;53.5806;-113.3374
CA;T6T;Edmonton (Meadows);Alberta;53.4617;-113.371
CA;T6V;Edmonton (West Castledowns);Alberta;53.6112;-113.5746
CA;T6W;Edmonton (Heritage Valley);Alberta;53.4179;-113.5785
CA;T6X;Edmonton (Ellerslie);Alberta;53.4154;-113.4178
CA;T7A;Drayton Valley;Alberta;53.2168;-114.9854
CA;T7E;Edson;Alberta;53.5834;-116.4356
CA;T7N;Barrhead;Alberta;54.1334;-114.4021
CA;T7P;Westlock;Alberta;54.1502;-113.8688
CA;T7S;Whitecourt;Alberta;54.1501;-115.6855
CA;T7V;Hinton;Alberta;53.4001;-117.5857
CA;T7X;Spruce Grove North;Alberta;53.5334;-113.9187
CA;T7Y;Spruce Grove South;Alberta;53.4184;-113.8097
CA;T7Z;Stony Plain;Alberta;53.5334;-114.0021
CA;T8A;Sherwood Park West;Alberta;53.528;-113.2512
CA;T8B;Sherwood Park Outer Southwest;Alberta;53.4397;-113.2952
CA;T8C;Sherwood Park Inner Southwest;Alberta;53.4391;-113.1903
CA;T8E;Sherwood Park Central;Alberta;53.5225;-113.1022
CA;T8G;Sherwood Park East;Alberta;53.5052;-112.9529
CA;T8H;Sherwood Park Northwest;Alberta;53.556;-113.2952
CA;T8L;Fort Saskatchewan;Alberta;53.7168;-113.2187
CA;T8N;St. Albert;Alberta;53.6334;-113.6353
CA;T8R;Morinville;Alberta;53.8001;-113.652
CA;T8S;Peace River;Alberta;56.2501;-117.286
CA;T8T;St. Albert;Alberta;53.6867;-113.7102
CA;T8V;Grande Prairie Central;Alberta;55.1808;-118.9103
CA;T8W;Grande Prairie South;Alberta;55.1303;-118.7946
CA;T8X;Grande Prairie East;Alberta;55.1834;-118.7457
CA;T9A;Wetaskiwin;Alberta;52.9668;-113.3687
CA;T9C;Vegreville;Alberta;53.5001;-112.0518
CA;T9E;Leduc;Alberta;53.2668;-113.552
CA;T9G;Devon;Alberta;53.3668;-113.7353
CA;T9H;Fort McMurray Outer Central;Alberta;56.664;-111.1357
CA;T9J;Fort McMurray Inner Central;Alberta;56.707;-111.3771
CA;T9K;Fort McMurray Northwest;Alberta;56.7538;-111.435
CA;T9M;Cold Lake;Alberta;54.4502;-110.2017
CA;T9N;Bonnyville;Alberta;54.2668;-110.7351
CA;T9S;Athabasca;Alberta;54.7169;-113.2854
CA;T9V;Lloydminster;Alberta;53.2717;-110.0853
CA;T9W;Wainwright;Alberta;52.839;-110.8572
CA;T9X;Vermilion;Alberta;53.3669;-110.8517
CA;V5K;Vancouver (North Hastings-Sunrise);British Columbia;49.2807;-123.0397
CA;V5L;Vancouver (North Grandview-Woodlands);British Columbia;49.2795;-123.0667
